num,title
1,Descent Part II
2,Liaisons
3,Interface
4,Gambit Part I
5,Gambit Part II
6,Phantasms
7,Dark Page
8,Attached
9,Force of Nature
10,Inheritance
11,Parallels
12,The Pegasus
13,Homeward
14,Sub Rosa
15,Lower Decks
16,Thine Own Self
17,Masks
18,Eye of the Beholder
19,Genesis
20,Journeys End
21,Firstborn
22,Bloodlines
23,Emergence
24,Preemptive Strike
25,All Good Things Part I
26,All Good Things Part II
