num,title
1,Times Arrow Part II
2,Realm of Fear
3,Man of the People
4,Relics
5,Schisms
6,True Q
7,Rascals
8,A Fistful of Datas
9,The Quality of Life
10,Chain of Command Part I
11,Chain of Command Part II
12,Ship in a Bottle
13,Aquiel
14,Face of the Enemy
15,Tapestry
16,Birthright Part I
17,Birthright Part II
18,Starship Mine
19,Lessons
20,The Chase
21,Frame of Mind
22,Suspicions
23,Rightful Heir
24,Second Chances
25,Timescape
26,Descent Part I
