num,title
1,Basics Part II
2,Flashback
3,The Chute
4,The Swarm
5,False Profits
6,Remember
7,Sacred Ground
8,Futures End Part I
9,Futures End Part II
10,Warlord
11,The Q and the Grey
12,Macrocosm
13,Fair Trade
14,Alter Ego
15,Coda
16,Blood Fever
17,Unity
18,Darkling
19,Rise
20,Favorite Son
21,Before and After
22,Real Life
23,Distant Origin
24,Displaced
25,Worst Case Scenario
26,Scorpion Part I
