1,Amok Time
2,Who Mourns for Adonais
3,The Changeling
4,Mirror Mirror
5,The Apple
6,The Doomsday Machine
7,Catspaw
8,I Mudd
9,Metamorphosis
10,Journey to Babel
11,Fridays Child
12,The Deadly Years
13,Obsession
14,Wolf in the Fold
15,The Trouble with Tribbles
16,The Gamesters of Triskelion
17,A Piece of the Action
18,The Immunity Syndrome
19,A Private Little War
20,Return to Tomorrow
21,Patterns of Force
22,By Any Other Name
23,The Omega Glory
24,The Ultimate Computer
25,Bread and Circuses
26,Assignment Earth
