num,title
1,The Homecoming
2,The Circle
3,The Siege
4,Invasive Procedures
5,Cardassians
6,Melora
7,Rules of Acquisition
8,Necessary Evil
9,Second Sight
10,Sanctuary
11,Rivals
12,The Alternate
13,Armageddon Game
14,Whispers
15,Paradise
16,Shadowplay
17,Playing God
18,Profit and Loss
19,Blood Oath
20,The Maquis Part I
21,The Maquis Part II
22,The Wire
23,Crossover
24,The Collaborator
25,Tribunal
26,The Jem Hadar
