num,title
1,The Way of the Warrior Part I
2,The Way of the Warrior Part II
3,The Visitor
4,Hippocratic Oath
5,Indiscretion
6,Rejoined
7,Starship Down
8,Little Green Men
9,The Sword of Kahless
10,Our Man Bashir
11,Homefront
12,Paradise Lost
13,Crossfire
14,Return to Grace
15,Sons of Mogh
16,Bar Association
17,Accession
18,Rules of Engagement
19,Hard Time
20,Shattered Mirror
21,The Muse
22,For the Cause
23,To the Death
24,The Quickening
25,Body Parts
26,Broken Link
