num,title
1,Emissary
2,Past Prologue
3,A Man Alone
4,Babel
5,Captive Pursuit
6,Q-Less
7,Dax
8,The Passenger
9,Move Along Home
10,The Nagus
11,Vortex
12,Battle Lines
13,The Storyteller
14,Progress
15,If Wishes Were Horses
16,The Forsaken
17,Dramatis Personae
18,Duet
19,In the Hands of the Prophets
