1,Broken Bow Part I 
2,Broken Bow Part II
3,Fight or Flight
4,Strange New World
5,Unexpected
6,Terra Nova
7,The Andorian Incident
8,Breaking the Ice
9,Civilization
10,Fortunate Son
11,Cold Front
12,Silent Enemy
13,Dear Doctor
14,Sleeping Dogs
15,Shadows of PJem
16,Shuttlepod One
17,Fusion
18,Rogue Planet
19,Acquisition
20,Oasis
21,Detained
22,Vox Sola
23,Fallen Hero
24,Desert Crossing
25,Two Days and Two Nights
26,Shockwave Part I
